metric,Pearson_with_commits
commits,1.0
involved_developers_commits,0.999584300079682
involved_developers_capped_commits,0.9655134475041021
involved_developers,0.9300049106627989
commits_per_day,0.7799623494537663
authors,0.7582322471715848
commit_day_density,0.7545526962514729
files_created,0.6221142855848405
files_edited,0.6221142855848405
commit_days,0.4788355523594
commit_period,0.2915180308183345
pull_requests,0.25040118125742855
merged_prs,0.22625193520519338
closed_issues,0.1728403262050553
ccp,0.12542118735005334
negative_sentiment_rate,0.07713508197289787
refactor_mle,0.069073885119153
message_length_avg,0.05608249584336875
merged_issues_per_developer,0.049096053801199066
non_corrective_message_length_avg,0.042318342251502876
merged_issues_per_involved_developer,0.041853871698423264
merged_prs_per_involved_developer,0.040095317593869154
same_date_duration_avg,0.03847316096447643
commits_per_developer,0.0365249444710315
positive_sentiment_rate,0.035189680111578775
merged_prs_per_developer,0.03411605991973247
tests_presence,0.03209765138406481
one_file_refactor_rate,0.031648608506219846
one_file_fix_rate,0.025661889058742105
avg_coupling_code_size_cut,0.02487283212554661
multiline_message_ratio,0.018758428812693802
minutes_to_revert,0.017574624680751272
cursing_rate,0.013697380900336668
corrective_multiline_message_ratio,0.010047739002086513
reverted_ratio,-0.005184217621879839
onboarding_prob,-0.018202173806415894
capped_commits_per_involved_developer,-0.02097962141574891
retention_prob,-0.021066065722947155
bug_prev_touch_ago,-0.026812413839776745
prev_touch_ago,-0.041509185819418135
