cases,developers,a_Is_Company,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,commit_hours_same,owned_repository_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
1,1,false,0,1,0,0,0,0,1,1,0,0,0
1,1,false,1,1,0,0,0,0,1,1,0,0,0
1,1,true,0,0,0,0,0,0,0,1,1,0,0
3,1,false,0,1,0,0,0,0,0,1,1,0,0
1,1,true,1,1,0,1,0,1,0,1,1,0,1
1,1,true,1,0,0,1,0,1,1,0,0,1,1
3,1,true,1,1,0,1,0,1,0,0,1,0,0
1,1,false,1,1,0,0,0,0,1,0,0,0,0
1,1,false,1,1,0,1,0,1,1,0,0,1,1
1,1,true,1,0,0,1,0,1,1,0,1,0,0
29,2,false,1,1,0,1,0,1,0,1,1,1,1
3,2,true,1,1,0,1,0,1,1,1,1,1,0
3,2,true,1,1,0,1,0,1,1,1,1,0,0
312,3,false,1,1,0,1,0,1,0,1,0,1,1
23,3,false,1,1,0,1,0,1,0,1,1,0,1
3,3,true,1,1,0,1,0,1,0,1,1,1,1
5,4,true,1,1,0,1,0,1,0,1,1,1,0
149,4,false,1,1,0,1,0,1,0,1,1,1,0
6,4,true,1,1,0,1,0,1,0,1,0,0,1
5,4,true,1,1,0,1,0,1,1,1,1,1,1
8,5,true,1,1,0,1,0,1,1,1,0,1,0
28,5,false,1,1,0,1,0,1,1,1,1,0,1
6,5,true,1,1,0,1,0,1,0,1,1,0,0
9,5,true,1,1,0,1,0,1,1,1,0,1,1
1482,262,false,0,0,0,0,0,1,0,0,1,0,0
213,7,false,1,1,0,1,0,1,0,1,0,0,1
15,7,true,1,1,0,1,0,1,1,1,0,0,0
46,8,false,1,1,0,1,0,1,1,1,1,1,1
21,9,true,1,1,0,1,0,1,0,1,0,1,0
389,9,false,1,1,0,1,0,1,0,1,1,0,0
28,10,true,1,1,0,1,0,1,0,1,0,1,1
30,11,true,1,1,0,1,0,1,0,1,0,0,0
1377,12,false,1,1,0,1,0,1,0,1,0,1,0
72,12,false,1,1,0,1,0,1,1,1,1,1,0
4954,14,false,1,1,0,1,0,1,0,1,0,0,0
116,15,false,1,1,0,1,0,1,1,1,1,0,0
368,17,false,1,1,0,1,0,1,1,1,0,0,1
638,18,false,1,1,0,1,0,1,1,1,0,1,1
34,18,false,0,0,0,0,0,1,0,0,0,1,1
37,20,false,1,0,0,0,0,1,0,1,0,0,1
46,21,false,0,0,0,0,0,1,0,0,0,0,1
2138,277,false,0,0,0,0,0,1,0,1,0,0,0
743,22,false,1,1,0,1,0,1,1,1,0,0,0
50,23,false,1,0,0,0,0,1,0,0,0,1,1
31,23,false,1,0,0,0,0,1,0,0,0,0,1
181,24,true,1,0,0,0,0,1,0,1,0,0,1
51,24,false,1,1,0,0,0,1,0,0,0,0,1
364,25,true,1,0,0,0,0,1,1,1,0,0,1
46,25,false,1,0,0,0,0,1,1,0,0,0,1
119,25,true,1,0,0,0,0,1,0,0,1,0,1
146,25,true,1,0,0,0,0,1,0,0,0,0,1
325,25,false,1,1,0,1,0,1,1,1,0,1,0
73,26,false,1,0,0,0,0,1,0,1,0,1,1
44,26,false,0,1,0,0,0,1,0,0,1,0,1
55,26,false,0,0,0,0,0,1,1,0,0,0,1
512,26,true,1,0,0,0,0,1,0,1,0,1,1
94,26,false,0,0,0,0,0,1,1,0,0,1,1
67,27,false,0,1,0,0,0,1,0,0,0,0,1
79,27,false,0,1,0,0,0,1,0,0,0,1,1
280,28,true,0,1,0,0,0,1,0,0,0,1,1
98,29,false,1,0,0,0,0,1,1,0,0,1,1
53,29,false,1,0,0,0,0,1,1,1,0,0,1
153,29,false,0,0,0,0,0,1,0,1,0,1,1
124,30,true,0,0,0,0,0,1,0,0,0,0,1
175,30,true,1,0,0,0,0,1,1,0,0,0,1
97,30,false,0,0,0,0,0,1,0,0,1,1,1
55,30,false,0,1,0,0,0,1,0,0,1,1,1
120,30,false,1,1,0,0,0,1,0,0,0,1,1
51,30,false,1,0,0,0,0,1,0,0,1,1,1
109,30,false,0,1,0,0,0,1,1,0,0,0,1
48,30,false,1,0,0,0,0,1,0,1,1,0,1
58,31,false,1,0,0,0,0,1,0,0,1,0,1
106,31,false,0,1,0,0,0,1,1,0,0,1,1
79,31,false,0,0,0,0,0,1,0,1,0,0,1
57,31,false,1,0,0,0,0,1,0,1,1,1,1
182,32,false,0,0,0,0,0,1,1,1,0,1,1
223,32,true,0,0,0,0,0,1,1,0,0,0,1
