model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
Tree_ms50_md3,21968.0,2355.0,3818.0,5602.0,33743.0,0.72,0.82,0.76,0.85,0.04,0.8,0.62,0.7,0.67,0.08,-0.12,0.69,0.79,0.02,
Tree_default,22989.0,1518.0,4655.0,4581.0,33743.0,0.73,0.82,0.82,0.83,0.02,0.83,0.75,0.71,0.7,0.03,-0.11,0.69,0.68,0.0,
Tree_ms50,22855.0,2297.0,3876.0,4715.0,33743.0,0.75,0.82,0.79,0.85,0.05,0.83,0.63,0.73,0.69,0.09,-0.09,0.69,0.74,0.02,
Tree_md3,21968.0,2355.0,3818.0,5602.0,33743.0,0.72,0.82,0.76,0.85,0.04,0.8,0.62,0.7,0.67,0.08,-0.12,0.69,0.79,0.02,
RandomForest,27570.0,0.0,6173.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.69,0.0,0.0,
AdaBoost,27570.0,0.0,6173.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.69,0.0,0.0,
AdaBoost_n_small,27570.0,0.0,6173.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.69,0.0,0.0,
Stump,27570.0,0.0,6173.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.69,0.0,0.0,
LogisticRegression,23385.0,2081.0,4092.0,4185.0,33743.0,0.75,0.82,0.81,0.85,0.04,0.85,0.66,0.74,0.7,0.08,-0.08,0.69,0.69,0.02,
SGDClassifier,25284.0,1202.0,4971.0,2286.0,33743.0,0.78,0.82,0.9,0.84,0.02,0.92,0.81,0.78,0.75,0.04,-0.04,0.69,0.48,0.01,
