model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,setting
Tree_ms_md,51479.0,0.0,16189.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,balanced_lfc
Tree_default,50348.0,740.0,15449.0,1131.0,67668.0,0.75,0.76,0.97,0.77,0.01,0.98,0.95,0.75,0.75,0.01,-0.01,0.79,0.18,0.0,,balanced_lfc
Tree_ms,51479.0,0.0,16189.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,balanced_lfc
Tree_md,51479.0,0.0,16189.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,balanced_lfc
RandomForest,51479.0,0.0,16189.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,balanced_lfc
AdaBoost,51479.0,0.0,16189.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,balanced_lfc
AdaBoost_n_small,51479.0,0.0,16189.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,balanced_lfc
Stump,10892.0,15066.0,1123.0,40587.0,67668.0,0.38,0.76,0.18,0.91,0.19,0.21,0.07,0.21,0.33,0.16,-0.5,0.79,0.67,0.02,,balanced_lfc
LogisticRegression,23042.0,11677.0,4512.0,28437.0,67668.0,0.51,0.76,0.41,0.84,0.1,0.45,0.28,0.41,0.45,0.14,-0.33,0.79,0.98,0.02,,balanced_lfc
SGDClassifier,51479.0,0.0,16189.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,balanced_lfc
KNeighborsClassifier,46332.0,2516.0,13673.0,5147.0,67668.0,0.72,0.76,0.89,0.77,0.01,0.9,0.84,0.71,0.7,0.03,-0.05,0.79,0.51,0.0,,balanced_lfc
MLPClassifier,51479.0,0.0,16189.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,balanced_lfc
Tree_ms_md,51611.0,0.0,16057.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,3_1_lfc
Tree_default,51508.0,58.0,15999.0,103.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,-0.0,0.79,0.02,0.0,,3_1_lfc
Tree_ms,51611.0,0.0,16057.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,3_1_lfc
Tree_md,51611.0,0.0,16057.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,3_1_lfc
RandomForest,51611.0,0.0,16057.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,3_1_lfc
AdaBoost,51611.0,0.0,16057.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,3_1_lfc
AdaBoost_n_small,51611.0,0.0,16057.0,0.0,67668.0,0.76,0.76,1.0,0.76,0.0,1.0,1.0,0.76,0.76,0.0,0.0,0.79,0.0,0.0,,3_1_lfc
Stump,10829.0,14983.0,1074.0,40782.0,67668.0,0.38,0.76,0.18,0.91,0.19,0.21,0.07,0.21,0.33,0.16,-0.5,0.79,0.67,0.02,,3_1_lfc
